Time (S),Current Ch1,Voltage Ch1
705.0,4.0824107135,-0.011728075186
706.0,4.0824107135,-0.011699094203
707.0,4.0827327244,-0.011673333329
708.0,4.0830547353,-0.011602490925999999
709.0,4.0827327244,-0.011631471909
710.0,4.0827327244,-0.011634692019
711.0,4.0830547353,-0.011525208305000001
712.0,4.0824107135,-0.011599270817
713.0,4.0830547353,-0.011663673000999998
714.0,4.0830547353,-0.011612151254000001
715.0,4.0824107135,-0.011676553437999998
716.0,4.0827327244,-0.011676553437999998
717.0,4.0827327244,-0.011641132237
718.0,4.0824107135,-0.011599270817
719.0,4.0824107135,-0.011621811582
720.0,4.0824107135,-0.011435045247
721.0,4.0827327244,-0.011579950161999999
722.0,4.0830547353,-0.011625031691000001
723.0,4.0827327244,-0.011692653984
724.0,4.0830547353,-0.011608931145000001
725.0,4.0824107135,-0.011612151254000001
726.0,4.0824107135,-0.011660452892
727.0,4.0824107135,-0.011567069725
728.0,4.0827327244,-0.011596050708
729.0,4.0824107135,-0.011473686558
730.0,4.0824107135,-0.011460806121
731.0,4.0824107135,-0.011557409398
732.0,4.0827327244,-0.011528428415
733.0,4.0827327244,-0.011412504483000002
734.0,4.0827327244,-0.011621811582
735.0,4.0830547353,-0.011605711036
736.0,4.0827327244,-0.011525208305000001
737.0,4.0827327244,-0.011621811582
738.0,4.0820887026,-0.011567069725
739.0,4.0830547353,-0.011538088741999998
740.0,4.0824107135,-0.011625031691000001
741.0,4.0830547353,-0.011454365902999999
742.0,4.0830547353,-0.011476906666999999
743.0,4.0827327244,-0.011605711036
744.0,4.0827327244,-0.011570289834
745.0,4.0824107135,-0.011647572455
746.0,4.0824107135,-0.011467246339999999
747.0,4.0824107135,-0.011579950161999999
748.0,4.0827327244,-0.011592830598999999
749.0,4.0830547353,-0.011589610489999999
750.0,4.0824107135,-0.011521988196
751.0,4.0830547353,-0.011657232783
752.0,4.0824107135,-0.011444705575
753.0,4.0830547353,-0.01158639038
754.0,4.0827327244,-0.011509107759
755.0,4.0827327244,-0.011608931145000001
756.0,4.0824107135,-0.01158639038
757.0,4.0820887026,-0.011570289834
758.0,4.0827327244,-0.011418944701
759.0,4.0824107135,-0.011441485466
760.0,4.0827327244,-0.011386743609000001
761.0,4.0830547353,-0.011389963719
762.0,4.0824107135,-0.011451145793999999
763.0,4.0827327244,-0.011515547978
764.0,4.0820887026,-0.011541308851
765.0,4.0827327244,-0.011454365902999999
766.0,4.0824107135,-0.011386743609000001
767.0,4.0830547353,-0.011512327869000001
768.0,4.0830547353,-0.011512327869000001
769.0,4.0830547353,-0.011441485466
770.0,4.0827327244,-0.011386743609000001
771.0,4.0827327244,-0.011686213766
772.0,4.0827327244,-0.011515547978
773.0,4.0827327244,-0.011460806121
774.0,4.0827327244,-0.011493007212999999
775.0,4.0820887026,-0.011396403937
776.0,4.0830547353,-0.011538088741999998
777.0,4.0824107135,-0.011470466449
778.0,4.0820887026,-0.011457586012
779.0,4.0820887026,-0.011396403937
780.0,4.0827327244,-0.011583170271
781.0,4.0827327244,-0.011425384919999998
782.0,4.0827327244,-0.01154774907
783.0,4.0824107135,-0.011406064265
784.0,4.0827327244,-0.011380303391
785.0,4.0827327244,-0.011457586012
786.0,4.0824107135,-0.011332001753
